jmp_hyg_svclvl,jmp_hyg_avail,jmp_hyg_soap,jmp_waste_svclvl,jmp_waste_3bins,jmp_waste_sharps,jmp_waste_inf,jmp_wat_svclvl,jmp_wat_imp,jmp_wat_none,jmp_wat_dist,enum,status,rcode,hcf_mwaterid,hcf_type,reg_san,area_san,area_san_other,cont1_name,cont1_title,cont1_orng,cont1_mtn,cont2_name,cont2_title,cont2_orng,cont2_mtn,survey_date,staff_docs_all,Staffing of the health facility: Doctors - Number of male staff,Staffing of the health facility: Doctors - Number of female staff,Staffing of the health facility: Nurses - Total number of staff,Staffing of the health facility: Nurses - Number of male staff,Staffing of the health facility: Nurses - Number of female staff,Staffing of the health facility: Midwives - Total number of staff,Staffing of the health facility: Midwives - Number of male staff,Staffing of the health facility: Midwives - Number of female staff,Staffing of the health facility: Lab technicians - Total number of staff,Staffing of the health facility: Lab technicians - Number of male staff,Staffing of the health facility: Lab technicians - Number of female staff,Staffing of the health facility: Pharmacists - Total number of staff,Staffing of the health facility: Pharmacists - Number of male staff,Staffing of the health facility: Pharmacists - Number of female staff,Staffing of the health facility: Service staff - Total number of staff,Staffing of the health facility: Service staff - Number of male staff,Staffing of the health facility: Service staff - Number of female staff,Staffing of the health facility: Drivers - Total number of staff,Staffing of the health facility: Drivers - Number of male staff,Staffing of the health facility: Drivers - Number of female staff,Staffing of the health facility: Guards - Total number of staff,Staffing of the health facility: Guards - Number of male staff,Staffing of the health facility: Guards - Number of female staff,wp_mwaterid,wp_jmptype,watsys_exists,watsys_type,watsys_tank_cap,watsys_tank_type,wp_dist,water_available_today,watsys_taps,watsys_taps_total,watsys_taps_func,toilet_outpat,How many toilets are available for patients? ,How many toilets are available for patients?  (Asked),How many patient toilets are working? ,How many patient toilets are working?  (Asked),Are the patient toilets clean?,Are the patient toilets clean? (Asked),Is there a registry of cleaning at the patients toilet?,Is there a registry of cleaning at the patients toilet? (Asked),Are the patient toilets smelling?,Are the patient toilets smelling? (Asked),Are there flies in the patient toilets?,Are there flies in the patient toilets? (Asked),Are the patient toilets lit during the night?,Are the patient toilets lit during the night? (Asked),toilet_staff,How many toilets of any kind are available exclusively for staff? ,How many toilets of any kind are available exclusively for staff?  (Asked),How many staff toilets are working? ,How many staff toilets are working?  (Asked),toilet_mhm,"Is there at least one usable improved toilet designated for women and girls, which provides facilities to manage menstrual hygiene needs? (Asked)",toilet_hcap,Is there at least one usable improved toilet that meets the needs of people with reduced mobility? (Asked),Please take some photos of the latrines,handw_today_poc,handw_today_toilet,How many consultation rooms have a handwashing basin?,How many consultation rooms have a handwashing basin that works?,How many consultation rooms have a handwashing basin that works? (Asked),waste_3bins,waste_sharps,waste_infect,Is there an inicnerator at the center?,Is there an inicnerator at the center? (Other (please specify)) - specify,Please take a photo of the incinerator,Are cleaning protocols available?,Have all staff responsible for cleaning received training? ,Health facility > Unique ID,Community > Unique ID,Hygiene service level for health facility,Functional hand hygiene stations available at the selected point of care ,Handwashing facilities with soap and water available at toilets ,Health facility > Unique ID,Community > Unique ID,Healthcare waste service level for health facility,Is waste safely segregated into at least three labelled bins in the consultation area? ,Sharps waste disposal,How does this facility usually treat / dispose of infectious waste? ,Health facility > Unique ID,Sanitation facility > Unique ID,Community > Unique ID,jmp_san_svclvl,jmp_san_usable,jmp_san_mhm,jmp_san_staff,jmp_san_hcap,jmp_cln_svclvl,jmp_cln_prot,jmp_cln_staff,hcf_name,submitted_date,lat,lon
No service,No,No,No service,No,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-6YUCMK,4703905,Health Centre Type B,Cacheu,Ingore,,,Other,955577728,,,,,,2018-10-10,1,1,0,4,1,3,2,0,2,2,2,0,1,1,0,2,2,0,1,1,0,1,1,0,6361194,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,2,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",38,33,"No, improved toilets are present but not usable",9,True,2,True,Yes,True,,True,Yes,True,Yes,True,Yes,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/934f95f592b34831a2dedc3b0f7dcd9c; https://api.mwater.co/v3/images/03399cff33f249b4b2a0b3b6b3d9136e,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",3,,True,No,Not treated and added to general waste,Not treated and added to general waste,"Yes, but not working",,https://api.mwater.co/v3/images/61ba728e224a4413be56152d146205d9,No,,4703905,,No service,No,No,4703905,,No service,No,Unsafe,Unsafe,4703905,,,Limited,No,No,No,No,,No,,Ingore,2018-10-10 13:25:24,12.41007,-15.79951
Basic,Yes,Yes,No service,No,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-6YWUAK,4703606,Regional Hospital,Cacheu,Canchungo,,,Nurse,955921153,,,,,,2018-10-11,7,6,1,24,5,19,2,0,1,2,1,1,2,2,0,30,11,19,0,0,0,2,2,,6374606,Tubewell / borehole,"Yes, and it works",Electrical pump (Grid/generator) from own waterpoint,10,Metal,On premises,"Yes, observed","Yes, water comes from at least one tap",315,236,"Yes, at least one usable improved toilet",15,True,8,True,Yes,True,No,True,Yes,True,Yes,True,Yes,True,Yes,4,True,2,True,"No, there are no female-only toilets",True,Yes,True,https://api.mwater.co/v3/images/79f5d97aab874c8698891dc167d46530,Yes,Yes,8,,True,No,Not treated and added to general waste,Not treated and added to general waste,"Yes, but not working",,https://api.mwater.co/v3/images/aa1275caf4664762b851ffc2fc7c4bb8; https://api.mwater.co/v3/images/24668599e5874fd4a5fcbca6d372ee9b,No,,4703606,,Basic,Yes,Yes,4703606,,No service,No,Unsafe,Unsafe,4703606,,,Limited,Yes,No,Yes,Yes,,No,,Canchungo,2018-10-11 12:18:15,12.06382,-16.02501
No service,No,No,No service,No,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-6ZHNAK,4704140,Health Centre Type B,Tombali,Quebo,,,Responsable for Area Sanitaria,955940762,966904128,,Nurse,955318583,966126357,2018-10-18,1,1,,7,5,2,1,,1,1,1,,0,,,5,2,3,2,2,,0,,,,Cart with small tank / drum,"Yes, but it does not work",Hand pump to tank from own waterpoint ,5000,Metal,On premises,No ,"No, the tap inside does not give water",8,,"Yes, at least one usable improved toilet",0,True,,False,No,True,No,True,Yes,True,Yes,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/5f854999d29941b89f56669ae999f0d4,"No, no hand hygiene stations are available","No, no handwashing facilities are available",0,,False,No,Not treated and added to general waste,Not treated and added to general waste,"Yes, but not working",,https://api.mwater.co/v3/images/b701c6a2283242db9a7c2802f52fbc65,No,,4704140,,No service,No,No,4704140,,No service,No,Unsafe,Unsafe,4704140,,,Limited,Yes,No,No,No,,No,,Quebo,2018-10-18 14:49:42,11.535556,-14.7675
No service,No,No,No service,No,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-6ZHUTX,4703228,Health Centre Type C,Bafata,Bambadinca,,,Responsable for Area Sanitaria,955721527,966621527,,,,,2018-10-18,2,2,,4,,4,0,,,0,,,0,,,3,,3,1,1,,0,,,6382144,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,2000,Metal,On premises,No ,"No, the tap inside does not give water",9,,"Yes, at least one usable improved toilet",1,True,1,True,No,True,No,True,Yes,True,Yes,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/2ad05865419e4bc5a61aae07390c31dc,"No, no hand hygiene stations are available","No, no handwashing facilities are available",0,,False,No,Not treated and added to general waste,Not treated and added to general waste,"Yes, but not working",,https://api.mwater.co/v3/images/a458cfe450b44eb7a543f8ffcbc9d933,No,,4703228,,No service,No,No,4703228,,No service,No,Unsafe,Unsafe,4703228,,,Limited,Yes,No,No,No,,No,,Bambadinca,2018-10-18 16:45:57,12.026617,-14.86058
No service,No,No,No service,No,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-6ZLUZG,4703699,Health Centre Type B,Bafata,Cosse,,,Other,966639238,,,,,,2018-10-19,1,1,,5,2,3,1,,1,1,1,,0,,,6,2,4,1,1,,0,,,6834775,Piped water outside Health Center,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,2000,Metal,On premises,No ,"No, the tap inside does not give water",42,,"Yes, at least one usable improved toilet",6,True,0,True,No,True,No,True,Yes,True,Yes,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/05435a0cbbcd4bd9abb7dda0cc69231a,"No, no hand hygiene stations are available","No, no handwashing facilities are available",2,,True,No,Not treated and added to general waste,Not treated and added to general waste,"Yes, but not working",,https://api.mwater.co/v3/images/bcb1592e08d045b79b8bd707d3fe8883,No,,4703699,,No service,No,No,4703699,,No service,No,Unsafe,Unsafe,4703699,,,Limited,Yes,No,No,No,,No,,Cosse,2018-10-19 10:59:03,11.952103,-14.638096
No service,No,No,No service,No,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,rdollagaray-6YTXYE,4703682,Health Centre Type C,Bafata,Contuboel,,Salifo Incate,Nurse,966717010,955447075,Jose Vas,Responsable for Area Sanitaria,955418663,,2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,395320,Piped water inside Health Center,"Yes, and it works",Directly from grid,8,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",25,17,"Yes, at least one usable improved toilet",3,True,3,True,No,True,No,True,Yes,True,Yes,True,No,True,Yes,4,True,3,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/9d1e30e3bae14f51a0c9d6155271a15f; https://api.mwater.co/v3/images/ad9e97501d18444abb5864cef34919b6; https://api.mwater.co/v3/images/dee8a4b48e16465192d4aaf1b639d286; https://api.mwater.co/v3/images/3a47b72d0a594f11921cef9d17b932b0; https://api.mwater.co/v3/images/4a31ab26d0454e799077932af9463022; https://api.mwater.co/v3/images/27586c199377462db4f674d133fc0371,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",8,4,True,No,"Not treated, but collected for medical waste disposal",Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/cc1cf2e6f52f45979dacb3d18295076e,No,,4703682,,No service,No,No,4703682,,No service,No,Safe,Safe,4703682,,,Limited,Yes,No,Yes,No,,No,,Contuboel,2018-10-25 09:48:12,12.37422,-14.55861
No service,No,No,No service,No,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,rdollagaray-6ZLUYP,436133,Health Centre Type C,Gabu,Pitche,,Sedja Alberto da Silva,Responsable for Area Sanitaria,966824196,955962567,,,,,2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",6,5,"Yes, at least one usable improved toilet",3,True,3,True,No,True,No,True,Yes,True,Yes,True,No,True,Yes,2,True,2,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/ab9a0ce48c374f1f81f5744c3cb3e7dc; https://api.mwater.co/v3/images/3a5726db521440159fe125d26dd3da73; https://api.mwater.co/v3/images/47b7774c4671467486a7464615058edd; https://api.mwater.co/v3/images/1ce72c51716e4b1bae4c47ea1694285d; https://api.mwater.co/v3/images/cc75ce02f096464a998e5d6e4fe745a4,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",2,2,True,No,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/586bf70af63b407f98df929d0b4f6d19,No,,436133,,No service,No,No,436133,,No service,No,Safe,Safe,436133,,,Limited,Yes,No,Yes,No,,No,,Pitche,2018-10-29 16:44:04,12.3259105,-13.95815
No service,No,No,No service,No,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,ismasoga-735YFU,436157,Health Centre Type C,Cacheu,Jeta,,,Responsable for Area Sanitaria,956283584,966865841,,,,,2018-11-07,0,,,2,,2,0,,,0,,,0,,,0,,,1,1,,0,,,6385178,Protected dug well,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,No ,"No, the tap inside does not give water",8,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,Yes,True,Yes,True,Yes,True,No,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/a59b7812e69f40cdab4e32d315878d8b; https://api.mwater.co/v3/images/5e42b33a16cc42108b9752960d822bbb,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",1,,True,No,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/6d635f2e97c2427c9ef927606e9699ed; https://api.mwater.co/v3/images/f0365dd6d37e48c5a32037a5aa481cff; https://api.mwater.co/v3/images/89b7ece46a214dcf9f6e15d1791197ad,No,,436157,,No service,No,No,436157,,No service,No,Safe,Safe,436157,,,Limited,Yes,No,No,No,,No,,Jeta,2018-11-07 11:06:14,11.85698,-16.2547
No service,No,No,No service,No,Unsafe,Unsafe,No service,Unimproved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-7FUCQ9,461627,Private clinic,Tombali,Calaque,,aramaencamusnA,Responsable for Area Sanitaria,966842468,955517701,,,,,2019-04-10,,,,1,1,,,,,,,,,,,,,,,,,,,,461610,Unprotected dug well,No,,,,On premises,"Yes, observed",No taps inside,,,"No, improved toilets are present but not usable",1,True,,True,Yes,True,,True,No,True,No,True,No,True,No,,False,,False,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/cdea019e5d5d410aa8fe58fae2490a90,"No, no hand hygiene stations are available","No, no handwashing facilities are available",0,,False,No,Open burning,Open burning,No,,,No,,461627,,No service,No,No,461627,,No service,No,Unsafe,Unsafe,461627,,,Limited,No,No,No,No,,No,,Posto de saude ilha de Meio,2019-04-10 13:46:47,11.0116803,-15.2222626
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-7TJ8EE,4704243,Hospital Nacional Simao Mendes,SAB,Santa Luzia,,,,,,,,,,2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,,66547321,Piped water inside Health Center,"Yes, and it works",Grid to overhead water tank,,,On premises,"Yes, observed","Yes, water comes from at least one tap",,,"Yes, at least one usable improved toilet",,True,,False,,True,,True,,True,,True,,True,Yes,,True,,False,"No, female-only toilets do not have menstrual hygiene facilities",True,Yes,True,,Yes,Yes,,,False,Bins are present but don't meet all requirements,"Incinerated (two chamber, 850-1000C incinerator)","Incinerated (two chamber, 850-1000C incinerator)","Yes, in use",,,No,,4704243,,Basic,Yes,Yes,4704243,,Limited,,Safe,Safe,4704243,,,Limited,Yes,No,Yes,Yes,,No,,Simao Mendes,2019-08-30 06:40:20,11.862514,-15.581692
No service,No,No,Limited,,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-7VS67R,4703651,Health Centre Type C,Tombali,Cacine,,,,,,,,,,2019-09-26,,,,2,2,,,,,,,,,,,,,,,,,,,,48100353,Tubewell / borehole,"Yes, but it does not work",Hand pump to tank from own waterpoint ,4,PEAD,On premises,No ,"No, the tap inside does not give water",4,,"Yes, at least one usable improved toilet",2,True,,True,Yes,True,No,True,No,True,No,True,No,True,Yes,1,True,,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/af8b06110d974657b21b31cdded9557b,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",4,,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4703651,,No service,No,No,4703651,,Limited,,Unsafe,Unsafe,4703651,,,Limited,Yes,No,Yes,No,,No,,Cassumba,2019-09-26 15:27:45,10.97054,-15.0934
Limited,Yes,No,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-7VRV3C,4703541,Health Centre Type B,Tombali,Cacine,,Max,Other,966662522,,,,,,2019-09-26,0,,,6,3,3,1,,1,,,,,,,,,,1,,1,,,,48100346,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,4,Metal,On premises,No ,"No, the tap inside does not give water",20,,"Yes, at least one usable improved toilet",5,True,1,True,Yes,True,No,True,Yes,True,No,True,Yes,True,Yes,2,True,2,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/1c7b3794f68e4ac8ada9962938db4b99; https://api.mwater.co/v3/images/8d1fe49d39244d45a4ab202553374773; https://api.mwater.co/v3/images/254ef7a5cce248b8b3c2e88f57a31ae2; https://api.mwater.co/v3/images/43c4635796aa40eda10e9b92c2284744,Yes,"No, handwashing facilities are available but not functional, or lacking soap and/or water",4,,True,Bins are present but don't meet all requirements,"Not treated, but collected for medical waste disposal","Not treated, but buried in lined, protected pit",No,,,No,,4703541,,Limited,Yes,No,4703541,,Limited,,Safe,Safe,4703541,,,Limited,Yes,No,Yes,No,,No,,Cacine,2019-10-02 11:07:04,11.127222,-15.017222
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,rdollagaray-6YUT9L,4703194,Regional Hospital,Bafata,Bafata,,Gomes Costa .M.C Sofia,Nurse,,,,,,,2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,6383255,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,,,On premises,"Yes, observed","Yes, water comes from at least one tap",20,20,"Yes, at least one usable improved toilet",10,True,8,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,6,True,5,True,Yes,True,Yes,True,,Yes,Yes,5,,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4703194,,Basic,Yes,Yes,4703194,,Limited,,Safe,Safe,4703194,,,Basic,Yes,Yes,Yes,Yes,,No,,Bafata,2019-11-11 11:00:56,12.16937,-14.659388
No service,No,No,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Isa.lopes7-82VN3B,4703503,Health Centre Type B,Cacheu,Bula,,,Other,966609034,95723086,,,,,2019-11-27,2,1,1,6,1,5,2,,2,1,1,,1,1,,1,,1,1,1,,0,,,86688475,Piped water inside Health Center,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",7,5,"Yes, at least one usable improved toilet",2,True,1,True,Yes,True,No,True,Yes,True,Yes,True,No,True,Yes,1,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,https://api.mwater.co/v3/images/202a81fe8b6c4977901d2389ef19455f; https://api.mwater.co/v3/images/c78da3afde9644dfb28a23311fdb60a0,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",5,5,True,Bins are present but don't meet all requirements,"Incinerated (two chamber, 850-1000C incinerator)","Incinerated (two chamber, 850-1000C incinerator)","Yes, in use",,https://api.mwater.co/v3/images/27cc6cfe458940428bd9d0e1851613fb,No,"No, none have been trained",4703503,,No service,No,No,4703503,,Limited,,Safe,Safe,4703503,,,Limited,Yes,No,Yes,No,1,No,"No, none have been trained",Bula,2019-11-27 16:16:37,12.10287,-15.70899
No service,No,No,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Isa.lopes7-82PX7C,4703204,Health Centre Type B,SAB,Bairro Militar,,1,Other,966586766,955144828,,Responsable for Area Sanitaria,966674264,955700494,2019-11-25,3,1,2,22,2,20,5,,5,5,5,,3,2,1,0,0,0,0,,,2,2,,6642839,Piped water inside Health Center,"Yes, and it works",Directly from grid,8,PEAD,On premises,No ,"Yes, water comes from at least one tap",21,15,"Yes, at least one usable improved toilet",4,True,4,True,No,True,No,True,Yes,True,No,True,No,True,Yes,1,True,1,True,"No, there are no female-only toilets",True,No,True,https://api.mwater.co/v3/images/22869b9f53e44f278a88dae613e9b05e,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",3,3,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),Other (please specify),Yes it is working but not in use because no one gave the authorization for it,https://api.mwater.co/v3/images/98bb3613423f4713ab55cd119b8c80bb,No,"No, none have been trained",4703204,,No service,No,No,4703204,,Limited,,Safe,Safe,4703204,,,Limited,Yes,No,Yes,No,1,No,"No, none have been trained",Bairro militar,2019-11-28 14:26:07,11.87089,-15.61937
Basic,Yes,Yes,No service,Yes,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Isa.lopes7-82Q5C4,7838756,Regional Hospital,SAB,Bairro Militar,,,Other,965129228,955820339,,,,,2019-11-25,8,4,4,14,3,11,3,,3,10,6,4,0,,,0,,,3,3,,15,15,,6390754,Piped water inside Health Center,"Yes, and it works",Electrical pump (Grid/generator) from own waterpoint,15,Cement,On premises,"Yes, observed","Yes, water comes from at least one tap",100,80,"Yes, at least one usable improved toilet",50,True,14,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,50,True,10,True,"No, female-only toilets do not have menstrual hygiene facilities",True,Yes,True,https://api.mwater.co/v3/images/e07ebf9e5cc64513bee0b6c1b10eda2a; https://api.mwater.co/v3/images/094a37fffd354d28aef4ebe29cd6d422; https://api.mwater.co/v3/images/41a64a3655de4a8d990543a998335a33,Yes,Yes,10,10,True,Yes,Not treated and added to general waste,Not treated and added to general waste,"Yes, in use",,https://api.mwater.co/v3/images/59568a28cf244108b24ffcbac3808f27,No,"No, some but not all have been trained",7838756,,Basic,Yes,Yes,7838756,,No service,Yes,Unsafe,Unsafe,7838756,,,Limited,Yes,No,Yes,Yes,2,No,"No, some but not all have been trained",Hospital Principal Militar,2019-11-28 14:32:48,11.864374855083,-15.631034374237
Limited,Yes,No,Limited,,Unsafe,Unsafe,Limited,Improved,,Within 500m,kingsley.chris,Final,Isa.lopes7-83AKL9,4703527,Health Centre Type B,Bafata,Xitole,,,Other,955997276,966105785,,,,,2019-12-02,0,,,4,2,2,1,,1,0,,,0,,,1,,1,1,1,,0,,,10040380,Piped water inside Health Center,"Yes, and it works",Other (please specify),4,PEAD,Within 500 m,"Yes, observed","Yes, water comes from at least one tap",6,6,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,Yes,True,No,True,No,True,Yes,1,True,1,True,"No, there are no female-only toilets",True,Yes,True,https://api.mwater.co/v3/images/b9f5492e40a44282a812c1fe451a7614; https://api.mwater.co/v3/images/66a4009e1afc43e5a66f9e41cc81fef3,Yes,"No, no handwashing facilities are available",2,2,True,Bins are present but don't meet all requirements,Open burning,Open burning,Other (please specify),Yes but they didnt start using it yet because it wasnt handed over to them,https://api.mwater.co/v3/images/341b495b66394e5899d1f1a512861985,No,"No, none have been trained",4703527,,Limited,Yes,No,4703527,,Limited,,Unsafe,Unsafe,4703527,,,Limited,Yes,No,Yes,Yes,1,No,"No, none have been trained",Xitole,2019-12-02 15:13:17,11.7357315683723,-14.8165536783677
No service,No,No,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Isa.lopes7-83AXFH,4703699,Health Centre Type C,Bafata,Cosse,,,Responsable for Area Sanitaria,955417276,966701912,,,,,2019-12-02,2,2,,10,2,8,2,,2,1,1,,0,,,0,,,1,1,,0,,,86688554,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,,Metal,On premises,"Yes, observed","Yes, water comes from at least one tap",15,8,"Yes, at least one usable improved toilet",8,True,5,True,Yes,True,No,True,No,True,No,True,No,True,Yes,1,True,1,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/6a15d212f3214354b25d765c688cc42c; https://api.mwater.co/v3/images/2ba5f10c2ebe479fa1f5f6731d433fef,"No, no hand hygiene stations are available","No, no handwashing facilities are available",2,0,True,Bins are present but don't meet all requirements,"Incinerated (two chamber, 850-1000C incinerator)","Incinerated (two chamber, 850-1000C incinerator)","Yes, in use",,https://api.mwater.co/v3/images/ff92b27c40d94f5c88d4c32b03d4cd1f,Yes,"No, some but not all have been trained",4703699,,No service,No,No,4703699,,Limited,,Safe,Safe,4703699,,,Basic,Yes,Yes,Yes,Yes,2,Yes,"No, some but not all have been trained",Cosse,2019-12-03 07:47:03,11.952103,-14.638096
No service,No,No,Limited,,Unsafe,,Limited,Improved,,Within 500m,kingsley.chris,Final,Isa.lopes7-83AB4C,4703228,Health Centre Type B,Bafata,Bambadinca,,,Responsable for Area Sanitaria,955721527,966621527,,,,,2019-12-02,2,2,,5,,5,1,,1,1,1,,0,,,2,,2,1,1,,0,,,6382151,Piped water inside Health Center,"Yes, and it works",Other (please specify),8,Metal,Within 500 m,"Yes, observed","No, the tap inside does not give water",8,,"Yes, at least one usable improved toilet",3,True,1,True,No,True,No,True,Yes,True,Yes,True,No,True,Yes,3,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,Yes,True,https://api.mwater.co/v3/images/ed0857697cfa4363b81bf1993bf70073; https://api.mwater.co/v3/images/03c2fdeb39ba446ebcdd23bdfbc10316; https://api.mwater.co/v3/images/cb07a7ad8ff2475da72225d47d26bf4c; https://api.mwater.co/v3/images/aae7c8e4b73b497c8d30353d7369f713,"No, no hand hygiene stations are available","No, no handwashing facilities are available",0,,False,Bins are present but don't meet all requirements,Open burning,,Other (please specify),Yes but h&#225;s not been in use until today because it wasnt never handed over officially to the center,https://api.mwater.co/v3/images/dfbf056d13a049a0a710a7db8d279238,No,"No, there are no staff responsible for cleaning",4703228,,No service,No,No,4703228,,Limited,,Unsafe,,4703228,,,Limited,Yes,No,Yes,Yes,1,No,"No, there are no staff responsible for cleaning",Bambadinca,2019-12-03 07:48:23,12.026617,-14.86058
No service,No,No,No service,Yes,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Isa.lopes7-83CTHU,4703369,Health Centre Type B,Bafata,Sare-Bacar,,,Responsable for Area Sanitaria,966617500,955117500,,,,,2019-12-03,0,,,3,1,2,0,,,0,,,0,,,1,,1,1,1,,0,,,86688578,Piped water inside Health Center,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",5,4,"Yes, at least one usable improved toilet",1,True,1,True,No,True,No,True,Yes,True,Yes,True,No,True,Yes,1,True,1,True,"No, there are no female-only toilets",True,Yes,True,https://api.mwater.co/v3/images/1a2aad196b7c40ad9ef62e9e94e713d3; https://api.mwater.co/v3/images/d343c4fd44d7479dbe6e5ab12cb551f0,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",1,0,True,Yes,Open burning,Open burning,"Yes, but not working",,https://api.mwater.co/v3/images/24e63f7d720d4860a03c33962f36c8a5,No,"Yes, all have been trained",4703369,,No service,No,No,4703369,,No service,Yes,Unsafe,Unsafe,4703369,,,Limited,Yes,No,Yes,Yes,,No,"Yes, all have been trained",Sare-Bacar,2019-12-03 10:58:20,12.669832,-14.427654
